epoch,accuracy,loss,val_accuracy,val_loss
0,0.3623028099536896,1.3339468240737915,0.4121037423610687,1.286629557609558
1,0.6252421736717224,0.999413251876831,0.6484149694442749,0.931652307510376
2,0.7907556295394897,0.5951782464981079,0.7002881765365601,0.7879882454872131
3,0.8466648459434509,0.4292311668395996,0.7089337110519409,0.7623727321624756
4,0.8807085752487183,0.33215606212615967,0.7089337110519409,0.8075315952301025
5,0.9045115113258362,0.2726629972457886,0.7146974205970764,0.8491842150688171
6,0.9288679957389832,0.22809898853302002,0.7118155360221863,0.8920661807060242
7,0.9399390816688538,0.18698935210704803,0.6974063515663147,0.9724839329719543
8,0.951287031173706,0.16066592931747437,0.6945244669914246,1.0051047801971436
9,0.9562690258026123,0.14365755021572113,0.7002881765365601,1.0679192543029785
10,0.9640188217163086,0.1209326907992363,0.6887608170509338,1.1011630296707153
11,0.9681705236434937,0.11078691482543945,0.7031700015068054,1.1519008874893188
12,0.9687240719795227,0.10223963111639023,0.680115282535553,1.2017896175384521
13,0.9706615209579468,0.09632990509271622,0.6858789920806885,1.2216832637786865
14,0.9709382653236389,0.09252191334962845,0.6916426420211792,1.2936855554580688
15,0.9781345129013062,0.07681403309106827,0.6945244669914246,1.3368020057678223
16,0.9759202599525452,0.0760292187333107,0.6685879230499268,1.3223774433135986
17,0.9739828109741211,0.07801614701747894,0.6714697480201721,1.4004894495010376
18,0.9731525182723999,0.07554773986339569,0.6887608170509338,1.332421064376831
19,0.976473867893219,0.06820707023143768,0.6772334575653076,1.3833330869674683
20,0.9778577089309692,0.06692607700824738,0.6945244669914246,1.3658453226089478
21,0.9759202599525452,0.06895051896572113,0.6945244669914246,1.415278673171997
22,0.9792416095733643,0.06336601078510284,0.6945244669914246,1.4095721244812012
23,0.9775809645652771,0.06316710263490677,0.6916426420211792,1.4834332466125488
24,0.9767506122589111,0.0602160207927227,0.6858789920806885,1.4848439693450928
